Inputs stats
Crop2ML-generated;AI-generated;True positive;False positive;False negative;Precision;Recall;F1-Score
79;79;79;0;0;1.0;1.0;1.0

True positive
Name;inputtype;variablecategory;datatype;len;max;min;default;unit;uri
weather_MinT;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
weather_MaxT;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
weather_MeanT;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
weather_Tav;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
weather_Amp;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
weather_AirPressure;OK;OK;OK;OK;WRONG;WRONG;WRONG;OK;WRONG
weather_Wind;OK;OK;OK;OK;WRONG;WRONG;WRONG;OK;WRONG
weather_Latitude;OK;OK;OK;OK;WRONG;WRONG;WRONG;OK;WRONG
weather_Radn;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
clock_Today_DayOfYear;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
canopyHeight;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
thickness;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;OK;WRONG
physical_BD;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
ps;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
rocks;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;OK;WRONG
physical_ParticleSizeSand;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;OK;WRONG
physical_ParticleSizeSilt;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;OK;WRONG
physical_ParticleSizeClay;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;OK;WRONG
carbon;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;OK;WRONG
waterBalance_SW;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
waterBalance_Eos;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
waterBalance_Eo;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
waterBalance_Es;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
waterBalance_Salb;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
pInitialValues;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
DepthToConstantTemperature;OK;OK;OK;OK;WRONG;WRONG;WRONG;OK;WRONG
timestep;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
latentHeatOfVapourisation;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
stefanBoltzmannConstant;OK;OK;OK;OK;WRONG;WRONG;WRONG;OK;WRONG
airNode;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
surfaceNode;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
topsoilNode;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
numPhantomNodes;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
constantBoundaryLayerConductance;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
numIterationsForBoundaryLayerConductance;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
defaultTimeOfMaximumTemperature;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
defaultInstrumentHeight;OK;OK;OK;OK;WRONG;WRONG;WRONG;OK;WRONG
bareSoilRoughness;OK;OK;OK;OK;WRONG;WRONG;WRONG;OK;WRONG
nodeDepth;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
thermCondPar1;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
thermCondPar2;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
thermCondPar3;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
thermCondPar4;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
pom;OK;OK;OK;OK;WRONG;WRONG;WRONG;OK;WRONG
soilRoughnessHeight;OK;OK;OK;OK;WRONG;WRONG;WRONG;OK;WRONG
nu;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
boundarLayerConductanceSource;OK;OK;WRONG;OK;WRONG;WRONG;OK;WRONG;WRONG
netRadiationSource;OK;OK;WRONG;OK;WRONG;WRONG;OK;WRONG;WRONG
MissingValue;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
soilConstituentNames;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
InitialValues;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
doInitialisationStuff;OK;OK;WRONG;OK;WRONG;WRONG;WRONG;WRONG;WRONG
internalTimeStep;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
timeOfDaySecs;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
numNodes;WRONG;WRONG;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
numLayers;WRONG;WRONG;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
volSpecHeatSoil;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
soilTemp;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
morningSoilTemp;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
heatStorage;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
thermalConductance;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
thermalConductivity;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
boundaryLayerConductance;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
newTemperature;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
airTemperature;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
maxTempYesterday;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
minTempYesterday;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
soilWater;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
minSoilTemp;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
maxSoilTemp;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
aveSoilTemp;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
aveSoilWater;OK;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG
bulkDensity;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;OK;WRONG
sand;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;OK;WRONG
silt;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;OK;WRONG
clay;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;WRONG;OK;WRONG
instrumentHeight;OK;OK;OK;OK;WRONG;WRONG;WRONG;WRONG;WRONG
netRadiation;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
instrumHeight;WRONG;WRONG;OK;OK;WRONG;WRONG;OK;WRONG;WRONG

False positive
Name;inputtype;variablecategory;datatype

False negative
Name;inputtype;variablecategory;datatype


Outputs stats
Crop2ML-generated;AI-generated;True positive;False positive;False negative;Precision;Recall;F1-Score
22;21;21;0;1;1.0;0.9545454545454546;0.9767441860465117

True positive
Name;inputtype;variablecategory;datatype;len;max;min;default;unit;uri
InitialValues;OK;OK;WRONG;WRONG;WRONG;WRONG;OK;WRONG;WRONG
doInitialisationStuff;OK;OK;WRONG;OK;WRONG;WRONG;OK;WRONG;WRONG
internalTimeStep;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
timeOfDaySecs;OK;OK;OK;OK;WRONG;WRONG;OK;WRONG;WRONG
